date	operator
24-Dec-16	1
25-Dec-16	1
26-Dec-16	1
27-Dec-16	1
28-Dec-16	1
29-Dec-16	1
30-Dec-16	1
31-Dec-16	2
01-Jan-17	2
02-Jan-17	2
03-Jan-17	2
04-Jan-17	2
05-Jan-17	2
06-Jan-17	2
07-Jan-17	2
08-Jan-17	2
09-Jan-17	2
10-Jan-17	2
11-Jan-17	2
12-Jan-17	2
13-Jan-17	2
14-Jan-17	2
15-Jan-17	2
16-Jan-17	2
17-Jan-17	2
18-Jan-17	3
19-Jan-17	3
20-Jan-17	3
21-Jan-17	3
22-Jan-17	3
23-Jan-17	3
24-Jan-17	3
25-Jan-17	3
26-Jan-17	3
27-Jan-17	3
28-Jan-17	3
29-Jan-17	3
30-Jan-17	3
31-Jan-17	3
01-Feb-17	3
02-Feb-17	3
03-Feb-17	3
04-Feb-17	3
05-Feb-17	3
06-Feb-17	3
07-Feb-17	3
08-Feb-17	3
09-Feb-17	3
10-Feb-17	3
11-Feb-17	3
12-Feb-17	3
13-Feb-17	3
14-Feb-17	3
15-Feb-17	3
16-Feb-17	3
17-Feb-17	3
18-Feb-17	3
19-Feb-17	3
20-Feb-17	3
21-Feb-17	1
22-Feb-17	2
23-Feb-17	2
24-Feb-17	2
25-Feb-17	2
26-Feb-17	2
27-Feb-17	2
28-Feb-17	0
01-Mar-17	1
02-Mar-17	1
03-Mar-17	1
04-Mar-17	1
05-Mar-17	1
06-Mar-17	1
07-Mar-17	1
08-Mar-17	1
09-Mar-17	1
10-Mar-17	1
11-Mar-17	1
12-Mar-17	1
13-Mar-17	1
14-Mar-17	1
15-Mar-17	2
16-Mar-17	2
17-Mar-17	2
18-Mar-17	1
19-Mar-17	1
20-Mar-17	1
21-Mar-17	1
22-Mar-17	1
23-Mar-17	1
24-Mar-17	1
25-Mar-17	1
26-Mar-17	1
27-Mar-17	1
28-Mar-17	1
29-Mar-17	1
30-Mar-17	1
31-Mar-17	1
01-Apr-17	1
02-Apr-17	1
03-Apr-17	1
04-Apr-17	1
05-Apr-17	1
06-Apr-17	1
07-Apr-17	1
08-Apr-17	1
09-Apr-17	1
10-Apr-17	1
11-Apr-17	1
12-Apr-17	1
13-Apr-17	1
14-Apr-17	1
15-Apr-17	1
16-Apr-17	1
17-Apr-17	1
18-Apr-17	1
19-Apr-17	1
20-Apr-17	1
21-Apr-17	1
22-Apr-17	1
23-Apr-17	1
24-Apr-17	1
25-Apr-17	1
26-Apr-17	1
27-Apr-17	1
28-Apr-17	1
29-Apr-17	1
30-Apr-17	1
01-May-17	1
02-May-17	1
03-May-17	1
04-May-17	1
05-May-17	1
06-May-17	1
07-May-17	1
08-May-17	2
09-May-17	3
10-May-17	3
11-May-17	3
12-May-17	3
13-May-17	2
14-May-17	2
15-May-17	2
16-May-17	2
17-May-17	2
18-May-17	2
19-May-17	2
20-May-17	2
21-May-17	2
22-May-17	2
23-May-17	2
24-May-17	2
25-May-17	2
26-May-17	2
27-May-17	2
28-May-17	2
29-May-17	2
30-May-17	2
31-May-17	2
01-Jun-17	2
02-Jun-17	2
03-Jun-17	2
04-Jun-17	2
05-Jun-17	2
06-Jun-17	2
07-Jun-17	2
08-Jun-17	2
09-Jun-17	2
10-Jun-17	2
11-Jun-17	2
12-Jun-17	2
13-Jun-17	2
14-Jun-17	2
15-Jun-17	2
16-Jun-17	2
17-Jun-17	2
18-Jun-17	2
19-Jun-17	2
20-Jun-17	2
21-Jun-17	2
22-Jun-17	2
23-Jun-17	2
24-Jun-17	2
25-Jun-17	2
26-Jun-17	2
27-Jun-17	2
28-Jun-17	2
29-Jun-17	2
30-Jun-17	2
01-Jul-17	2
02-Jul-17	2
03-Jul-17	2
04-Jul-17	2
05-Jul-17	2
06-Jul-17	0
07-Jul-17	0
