date	operator
22-Mar-17	1
23-Mar-17	1
24-Mar-17	1
25-Mar-17	1
26-Mar-17	1
27-Mar-17	1
28-Mar-17	1
29-Mar-17	1
30-Mar-17	1
31-Mar-17	1
01-Apr-17	1
02-Apr-17	1
03-Apr-17	1
04-Apr-17	1
05-Apr-17	1
06-Apr-17	1
07-Apr-17	1
08-Apr-17	1
09-Apr-17	1
10-Apr-17	1
11-Apr-17	1
12-Apr-17	1
13-Apr-17	1
14-Apr-17	1
15-Apr-17	1
16-Apr-17	1
17-Apr-17	1
18-Apr-17	1
19-Apr-17	1
20-Apr-17	1
21-Apr-17	1
22-Apr-17	1
23-Apr-17	1
24-Apr-17	1
25-Apr-17	1
26-Apr-17	1
27-Apr-17	1
28-Apr-17	1
29-Apr-17	2
30-Apr-17	2
01-May-17	2
02-May-17	2
03-May-17	2
04-May-17	2
05-May-17	2
06-May-17	2
07-May-17	2
08-May-17	2
09-May-17	2
10-May-17	2
11-May-17	2
12-May-17	2
13-May-17	2
14-May-17	2
15-May-17	2
16-May-17	2
17-May-17	2
18-May-17	2
19-May-17	2
20-May-17	2
21-May-17	2
22-May-17	2
23-May-17	2
24-May-17	2
25-May-17	2
26-May-17	2
27-May-17	2
28-May-17	2
29-May-17	2
30-May-17	2
31-May-17	3
01-Jun-17	3
02-Jun-17	3
03-Jun-17	3
04-Jun-17	3
05-Jun-17	3
06-Jun-17	3
07-Jun-17	3
08-Jun-17	3
09-Jun-17	1
10-Jun-17	2
11-Jun-17	2
12-Jun-17	2
13-Jun-17	2
14-Jun-17	2
15-Jun-17	2
16-Jun-17	2
17-Jun-17	2
18-Jun-17	2
19-Jun-17	2
20-Jun-17	2
21-Jun-17	2
22-Jun-17	2
23-Jun-17	2
24-Jun-17	2
25-Jun-17	2
26-Jun-17	2
27-Jun-17	2
28-Jun-17	2
29-Jun-17	2
30-Jun-17	2
01-Jul-17	2
02-Jul-17	2
03-Jul-17	2
04-Jul-17	2
05-Jul-17	2
06-Jul-17	2
07-Jul-17	2
08-Jul-17	2
09-Jul-17	2
10-Jul-17	2
11-Jul-17	2
12-Jul-17	2
13-Jul-17	2
14-Jul-17	2
15-Jul-17	2
16-Jul-17	2
17-Jul-17	1
18-Jul-17	1
19-Jul-17	1
20-Jul-17	2
21-Jul-17	2
22-Jul-17	2
23-Jul-17	2
24-Jul-17	2
25-Jul-17	2
26-Jul-17	12
27-Jul-17	12
28-Jul-17	12
29-Jul-17	12
30-Jul-17	12
31-Jul-17	12
01-Aug-17	12
02-Aug-17	12
03-Aug-17	12
04-Aug-17	12
05-Aug-17	12
06-Aug-17	12
07-Aug-17	12
08-Aug-17	12
09-Aug-17	12
10-Aug-17	12
11-Aug-17	12
12-Aug-17	12
13-Aug-17	12
14-Aug-17	12
15-Aug-17	12
16-Aug-17	12
17-Aug-17	12
18-Aug-17	10
19-Aug-17	11
20-Aug-17	11
21-Aug-17	11
22-Aug-17	11
23-Aug-17	11
24-Aug-17	11
25-Aug-17	11
26-Aug-17	11
27-Aug-17	11
28-Aug-17	11
29-Aug-17	11
30-Aug-17	11
31-Aug-17	11
01-Sep-17	11
02-Sep-17	11
03-Sep-17	11
04-Sep-17	11
05-Sep-17	11
06-Sep-17	11
07-Sep-17	11
08-Sep-17	11
09-Sep-17	11
10-Sep-17	11
11-Sep-17	11
12-Sep-17	11
13-Sep-17	11
14-Sep-17	11
15-Sep-17	11
16-Sep-17	11
17-Sep-17	11
18-Sep-17	11
19-Sep-17	11
20-Sep-17	11
21-Sep-17	11
22-Sep-17	11
23-Sep-17	11
24-Sep-17	11
25-Sep-17	11
26-Sep-17	11
27-Sep-17	11
28-Sep-17	11
29-Sep-17	11
30-Sep-17	11
01-Oct-17	11
02-Oct-17	11
03-Oct-17	11
04-Oct-17	11
05-Oct-17	11
06-Oct-17	11
07-Oct-17	9
08-Oct-17	10
09-Oct-17	10
10-Oct-17	10
11-Oct-17	10
12-Oct-17	10
13-Oct-17	0
