date	operator
31-Dec-16	1
01-Jan-17	1
02-Jan-17	1
03-Jan-17	1
04-Jan-17	1
05-Jan-17	1
06-Jan-17	1
07-Jan-17	2
08-Jan-17	2
09-Jan-17	2
10-Jan-17	3
11-Jan-17	3
12-Jan-17	3
13-Jan-17	3
14-Jan-17	3
15-Jan-17	3
16-Jan-17	4
17-Jan-17	4
18-Jan-17	4
19-Jan-17	4
20-Jan-17	4
21-Jan-17	4
22-Jan-17	4
23-Jan-17	2
24-Jan-17	3
25-Jan-17	3
26-Jan-17	3
27-Jan-17	3
28-Jan-17	3
29-Jan-17	3
30-Jan-17	1
31-Jan-17	3
01-Feb-17	3
02-Feb-17	2
03-Feb-17	2
04-Feb-17	2
05-Feb-17	2
06-Feb-17	2
07-Feb-17	2
08-Feb-17	0
09-Feb-17	1
10-Feb-17	1
11-Feb-17	1
12-Feb-17	1
13-Feb-17	1
14-Feb-17	1
15-Feb-17	1
16-Feb-17	1
17-Feb-17	1
18-Feb-17	1
19-Feb-17	1
20-Feb-17	1
21-Feb-17	1
22-Feb-17	1
23-Feb-17	0
14-Mar-17	1
15-Mar-17	1
16-Mar-17	1
17-Mar-17	1
18-Mar-17	1
19-Mar-17	1
20-Mar-17	2
21-Mar-17	2
22-Mar-17	2
23-Mar-17	2
24-Mar-17	2
25-Mar-17	2
26-Mar-17	2
27-Mar-17	2
28-Mar-17	2
29-Mar-17	2
30-Mar-17	2
31-Mar-17	2
01-Apr-17	2
02-Apr-17	2
03-Apr-17	2
04-Apr-17	2
05-Apr-17	2
06-Apr-17	1
07-Apr-17	1
08-Apr-17	1
09-Apr-17	1
10-Apr-17	1
11-Apr-17	1
12-Apr-17	0
06-May-17	1
07-May-17	1
08-May-17	1
09-May-17	1
10-May-17	1
11-May-17	1
12-May-17	2
13-May-17	2
14-May-17	2
15-May-17	2
16-May-17	2
17-May-17	2
18-May-17	2
19-May-17	2
20-May-17	2
21-May-17	2
22-May-17	2
23-May-17	2
24-May-17	2
25-May-17	2
26-May-17	2
27-May-17	2
28-May-17	2
29-May-17	1
30-May-17	1
31-May-17	1
01-Jun-17	1
02-Jun-17	1
03-Jun-17	1
04-Jun-17	0
