date	operator
23-Dec-16	1
24-Dec-16	1
25-Dec-16	1
26-Dec-16	1
27-Dec-16	2
28-Dec-16	2
29-Dec-16	2
30-Dec-16	2
31-Dec-16	2
01-Jan-17	2
02-Jan-17	2
03-Jan-17	2
04-Jan-17	2
05-Jan-17	2
06-Jan-17	2
07-Jan-17	2
08-Jan-17	2
09-Jan-17	2
10-Jan-17	2
11-Jan-17	2
12-Jan-17	2
13-Jan-17	2
14-Jan-17	2
15-Jan-17	2
16-Jan-17	2
17-Jan-17	2
18-Jan-17	2
19-Jan-17	2
20-Jan-17	2
21-Jan-17	2
22-Jan-17	2
23-Jan-17	2
24-Jan-17	2
25-Jan-17	2
26-Jan-17	2
27-Jan-17	2
28-Jan-17	2
29-Jan-17	2
30-Jan-17	2
31-Jan-17	2
01-Feb-17	2
02-Feb-17	2
03-Feb-17	2
04-Feb-17	2
05-Feb-17	1
06-Feb-17	1
07-Feb-17	1
08-Feb-17	1
09-Feb-17	0
08-Mar-17	1
09-Mar-17	1
10-Mar-17	1
11-Mar-17	1
12-Mar-17	1
13-Mar-17	1
14-Mar-17	1
15-Mar-17	1
16-Mar-17	1
17-Mar-17	1
18-Mar-17	1
19-Mar-17	1
20-Mar-17	1
21-Mar-17	1
22-Mar-17	1
23-Mar-17	1
24-Mar-17	1
25-Mar-17	1
26-Mar-17	1
27-Mar-17	1
28-Mar-17	1
29-Mar-17	1
30-Mar-17	1
31-Mar-17	1
01-Apr-17	1
02-Apr-17	1
03-Apr-17	1
04-Apr-17	1
05-Apr-17	1
06-Apr-17	1
07-Apr-17	1
08-Apr-17	1
09-Apr-17	1
10-Apr-17	1
11-Apr-17	1
12-Apr-17	1
13-Apr-17	1
14-Apr-17	1
15-Apr-17	2
16-Apr-17	2
17-Apr-17	2
18-Apr-17	2
19-Apr-17	3
20-Apr-17	3
21-Apr-17	2
22-Apr-17	2
23-Apr-17	2
24-Apr-17	2
25-Apr-17	2
26-Apr-17	2
27-Apr-17	2
28-Apr-17	2
29-Apr-17	2
30-Apr-17	2
01-May-17	2
02-May-17	2
03-May-17	2
04-May-17	2
05-May-17	2
06-May-17	2
07-May-17	2
08-May-17	2
09-May-17	2
10-May-17	2
11-May-17	2
12-May-17	2
13-May-17	2
14-May-17	2
15-May-17	2
16-May-17	2
17-May-17	2
18-May-17	2
19-May-17	2
20-May-17	2
21-May-17	2
22-May-17	2
23-May-17	2
24-May-17	2
25-May-17	2
26-May-17	2
27-May-17	2
28-May-17	2
29-May-17	0
30-May-17	1
31-May-17	1
01-Jun-17	1
02-Jun-17	0
