date	operator
23-Dec-16	1
24-Dec-16	1
25-Dec-16	1
26-Dec-16	1
27-Dec-16	1
28-Dec-16	1
29-Dec-16	2
30-Dec-16	2
31-Dec-16	2
01-Jan-17	2
02-Jan-17	2
03-Jan-17	2
04-Jan-17	2
05-Jan-17	2
06-Jan-17	2
07-Jan-17	2
08-Jan-17	2
09-Jan-17	2
10-Jan-17	2
11-Jan-17	2
12-Jan-17	2
13-Jan-17	2
14-Jan-17	2
15-Jan-17	2
16-Jan-17	2
17-Jan-17	2
18-Jan-17	2
19-Jan-17	2
20-Jan-17	2
21-Jan-17	2
22-Jan-17	2
23-Jan-17	2
24-Jan-17	2
25-Jan-17	2
26-Jan-17	2
27-Jan-17	2
28-Jan-17	2
29-Jan-17	2
30-Jan-17	2
31-Jan-17	2
01-Feb-17	2
02-Feb-17	2
03-Feb-17	2
04-Feb-17	2
05-Feb-17	2
06-Feb-17	2
07-Feb-17	2
08-Feb-17	2
09-Feb-17	2
10-Feb-17	2
11-Feb-17	2
12-Feb-17	2
13-Feb-17	2
14-Feb-17	2
15-Feb-17	2
16-Feb-17	2
17-Feb-17	2
18-Feb-17	3
19-Feb-17	3
20-Feb-17	3
21-Feb-17	3
22-Feb-17	3
23-Feb-17	3
24-Feb-17	3
25-Feb-17	3
26-Feb-17	4
27-Feb-17	4
28-Feb-17	4
01-Mar-17	4
02-Mar-17	4
03-Mar-17	4
04-Mar-17	4
05-Mar-17	4
06-Mar-17	5
07-Mar-17	5
08-Mar-17	5
09-Mar-17	5
10-Mar-17	5
11-Mar-17	5
12-Mar-17	5
13-Mar-17	5
14-Mar-17	5
15-Mar-17	3
16-Mar-17	4
17-Mar-17	4
18-Mar-17	4
19-Mar-17	4
20-Mar-17	4
21-Mar-17	2
22-Mar-17	3
23-Mar-17	3
24-Mar-17	3
25-Mar-17	3
26-Mar-17	3
27-Mar-17	3
28-Mar-17	3
29-Mar-17	3
30-Mar-17	3
31-Mar-17	3
01-Apr-17	3
02-Apr-17	3
03-Apr-17	3
04-Apr-17	3
05-Apr-17	3
06-Apr-17	3
07-Apr-17	3
08-Apr-17	3
09-Apr-17	3
10-Apr-17	4
11-Apr-17	4
12-Apr-17	5
13-Apr-17	5
14-Apr-17	5
15-Apr-17	5
16-Apr-17	5
17-Apr-17	5
18-Apr-17	5
19-Apr-17	5
20-Apr-17	5
21-Apr-17	5
22-Apr-17	5
23-Apr-17	5
24-Apr-17	5
25-Apr-17	5
26-Apr-17	5
27-Apr-17	5
28-Apr-17	5
29-Apr-17	5
30-Apr-17	5
01-May-17	5
02-May-17	5
03-May-17	5
04-May-17	5
05-May-17	5
06-May-17	5
07-May-17	5
08-May-17	5
09-May-17	5
10-May-17	5
11-May-17	3
12-May-17	4
13-May-17	4
14-May-17	4
15-May-17	4
16-May-17	4
17-May-17	4
18-May-17	4
19-May-17	2
20-May-17	3
21-May-17	3
22-May-17	3
23-May-17	3
24-May-17	3
25-May-17	3
26-May-17	3
27-May-17	2
28-May-17	2
29-May-17	2
30-May-17	2
31-May-17	2
01-Jun-17	2
02-Jun-17	2
03-Jun-17	2
04-Jun-17	2
05-Jun-17	2
06-Jun-17	2
07-Jun-17	2
08-Jun-17	2
09-Jun-17	2
10-Jun-17	2
11-Jun-17	2
12-Jun-17	2
13-Jun-17	2
14-Jun-17	2
15-Jun-17	2
16-Jun-17	2
17-Jun-17	2
18-Jun-17	2
19-Jun-17	2
20-Jun-17	2
21-Jun-17	2
22-Jun-17	2
23-Jun-17	2
24-Jun-17	2
25-Jun-17	2
26-Jun-17	2
27-Jun-17	2
28-Jun-17	2
29-Jun-17	2
30-Jun-17	2
01-Jul-17	1
02-Jul-17	1
03-Jul-17	0
